clean_text,label
Can’t happen in Mass. We are confined to homes. Nearly everyone wearing masks 24/7. ,2
cracker barrel remained open and was an absolute mad house :) we were required to work or we would be fired. no social distancing. improper wear of masks. no health checks. guess how many positive tests have come in since then :’) ,0
#ICYMI: @MayorCantrell received her flu shot at the Family Resource Center the @CityOfNOLA activated for our Southwest Louisiana neighbors. Volunteer if you can: Find flu vaccines: 😷 #CityOfYes @nolahealthdept #MaskUpNOLA ,2
"@Sir_Fahrenheit @justin_hart @TreyMorris Then how do you explain less than 6% of people who don’t wear one - are testing positive... versus 70.6% who always wear one get it ???? Yes - as you wrote ...wearing a mask you’re more likely to get covid, probably from the spores sticking to the mask and improper mask wearing",1
I went to a small town store in central Wisconsin to pick up some essentials for our return trip yesterday and I saw one mask wearer among a dozen people. Yeah Wisconsin is a mess with uncontrolled COVID spread and small towns think they’re immune 🤦🏻 ,0
"#masks my 3yr old twins wear mask and think nothing of it, they do gymnastics, and soccer and we don’t have to tell them to wear their masks, in fact the move away from anyone without a mask #WearAMask ",0
"@MUSGAbigly @McETif @haley_icu And sad and scary. Antivaxxers, antimaskers in a profession that sees patients and the results of diseases that could be prevented. I guess these people hate polio vaccine too. Shaking my head.",0
You are invited to join us this Sunday:Bible School for all ages @ 9:45 a.m.Worship Service @ 11 a.m.We ask that you wear your mask as you enter &amp; exit (extra are masks available). Social distancing protocols have been established to help keep you healthy &amp; safe. ,2
@GovRonDeSantis Based On What ?#WearAMask #Coronavirus #SocialDistanacing #Outbreak #Pandemic #Quarantine #Lockdown #Florida ,2
"ALERT: All 6 #MontCo walk up testing sites will be closed tomorrow, August 4th, due to Tropical Storm Isaias. Check out our Covid data hub at  for updated info. Stay safe out there and as always, #MaskUpMontCo",2
One of my mom's posts about wearing a mask and her subsequent hospital bed photo Masks do not cure the illness. Please wear one anyway. ,2
"Face masks are simple, effective, and one of the best tools we have in limiting coronavirus. Why is the U.S. fighting over them?",0
"#California @GavinNewsom HERE IN FLORIDA, OUR KIDS ARE ALLOWED TO WORSHIP JESUS WITHOUT A MASK! WAKE UP CALIFORNIA! ORHER STATES ARE LIVING FREE WITHOUT COMMUNIST GOVERNMENT  ",1
"""This comes the same week Iowa was ranked No. 47 in the country for its vaccine distribution, according to the Centers for Disease Control and Prevention.""""Reynolds removes restrictions on businesses, gatherings, masks"" ",0
Bring and wear your face mask. Expect waiting in line as we will still be administering COVID-19 screenings prior to entering the athletic physical process. Social Distancing will be enforced throughout the process. ,0
"@Squawk2000 @RadioFreeTom I bet you loved the folks who stormed the Michigan state house screaming about masks and coronavirus as a hoax, though.",2
"@Dr_AByronCooper @KyleJ12590645 @meganranney Well that’s not her message here...But arguendo, when it’s shown that asymptomatic vaccinated people don’t spread Covid, do you think those who are healthy and vaccinated should still be masked for physical reasons?",2
@MahhhCazzz mannn tell yo coach to wear a mask and I’ll think about it.,0
"@cenkuygur @realDonaldTrump @JoeBiden I can't bring myself to get angry about any of that right now. We're in the middle of a pandemic and our country is led by a fucking crazy man who won't wear a mask. This is terrifying. Trump has to go, then we work w what we've got. Progress is progress. That won't happen w 45.",0
"Please, just wear one. God fucking PLEASE.#WearAMask",0
"Facebook over here calling my a fascist and god knows what for being armed and wearing a mask for Corona while I'm photographing their protests, they also seem to belive that the best time to drag somebodies name though the mud is when that person just almost died. I hate people.",2
🏳️‍🌈#GayPride #brunch turned into a full-blown #SocialDistancing #BarHop throughout #JerseyCity (masks &amp; all)... From @CorkscrewBar in #JCheights to #GroveCornerBar &amp; #FranklinSocial in #DwntwnJC... #JCfoodie #JerseyCity #NJ🏳️‍🌈 ,2
@KenPaxtonTX You once again have no shame. Communities are trying to slow the spread of COVID. How about you taking a shift in a COVID Ward and then tell us it is ok to get into large maskless groups.,0
"@tacprc1 @FrankLuntz The pandemic is being given an encore. This go-around, the resurgence will be because of non-masked kids having parties and not because of mask-wearing kids burning down local economies. It will be Trump’s fault because blah, testing,blah, contact tracing, blah.",2
To get control of the virus we will have to put Trump supporters in an internment camp. They refuse to wear masks and keep the virus spreading. We have to get control of this. Catch somebody not wearing a mask take them to jail. This is a public health issue.,0
"@kokev @twobitidiot The extent to which a mask could affect CO2 levels depends on what it’s made of, and how tightly it fits.If you put a plastic bag over your head and tie it tight around your neck, no coronavirus could get in, but neither could any oxygen and you would suffocate.",2
@GovJanetMills For emergencies like register in a vehicle or any government building I bought a nice personalized mask...that I will wear only in those stores other than that I'll shop where they don't require masks ,2
"51 more ppl have died from Covid, @GovStitt a mask and the vaccine can save lives!",0
@tedcruz It was the masks &amp; social distancing you pompous ass!,2
Tweet after tweet on my news feed like this. I will wear my mask for those fighting for our lives. ,0
He was so slow to act; they just started wearing masks about 4 weeks ago thought they were immune ?? for some reason.... ,2
Anybody who still thinks COVID-19 is a hoax: Listen to today’s edition of @stlpublicradio’s The Gateway.@Petit_Smudge’s report on a St. Luke’s nurse’s experience is a sobering reminder that it’s VERY real for so many people.#WearAMask,0
Was standing in line outside the social security office when a man refused to put a mask on (claiming he has asthma) when told by the security officer that it’s federal property &amp; he has to wear a mask he finally obliged. I was Shocked to see,2
#WearAMask  and keep a distance. #StaySafeStayHealthy ,0
"Shout out to Texas.Darwin, take the wheel. #COVIDIOT #COVID19 #Texas #TexasMaskMandate",2
"This is why America loves Obama! We've been starving for these very traits for 4 yrs! We have missed your guidance. Thank you, O'Rock Obama! #DemConvention #VoteLikeYourLifeDependsOnIt #VoteBidenHarris2020 #VoteEarly#WearAMask 😷 #VoteInPerson ",2
@Dreamgirl1 @parallax2020 With PHOTO in mask to remain anonymous. Typical. We cannot transmit COVID19 via photo.,2
"@MariaAl96219138 It's not good, he also said COVID-19  is more serious than you think. He was also not happy about the protesters &amp; rioters, said a mask does not, will not work unless you stay 6 feet from people at all times, wash your hands often and stay clean. Use Eye protection in public.",2
"I get more than irritated when officials politicize Covid19. Opening schools, wearing a mask, large gatherings are all decisions that should be based on science.",0
Hope everyone is having a good day. I was in time out yesterday for calling Tulsi the B word 😂Had my shingles booster and whew it was a doozy so I slept most of the day.Know that you are loved and please stay safe. Wear your mask 💙💜💙💜 ,0
Flattered. #wearamask #MaskUpPHL #toughcookies #lowcutconnie ,2
"@SamohtLion This applies to individuals who are denying that the pandemic is anything to be concerned about.The people who won’t wear masks in public spaces.Suggesting that if this were the bubonic plague, these people would lick rats because it’s their constitutional right",2
"@jake_zuckerman @jaketapper See the people in my state are very selfish. They whine about having to wear a mask, but then want to scream and cry their child deserves a season abs that this is all the Governors fault when in reality it’s their fault for not following the guidelines.",0
"@Jim_Jordan Over 400,000 Americans are dead and here you are mocking wearing a mask. I would call it shameful but obviously you have no shame. You call yourself a patriot. I think not. #WearAMask #COVID19 #coronavirus #CoronavirusPandemic",0
The man pulled Lane Kiffin’s mask down in a crowded room over the summer because he thought it would be a funny gag. ,2
"my grandma was in ICU for 4 1/2 weeks on a ventilator, due to COVID. she passed away in the hospital alone but y’all can’t wear a mask for the 10-15 minutes you’re in a store?? FUCK YOU ",0
Good!!Amtrak will ban customers who refuse to wear face masks  via @phillyinquirer,0
Thank goodness #WearADamnMask 😷 ,0
"@tomshark Let me add, Trump by his admission and his doctors’ admission is infected with coronavirus. What he did by pulling that mask off and going in to doing that video is the height of irresponsibility. It sends a bad message to the public and put numerous people’s health at risk",0
@charles_gaba If the 73 million continue to choose not to wear a mask it will take care of itself ...,2
"Happy Covid-19 Sunday, August 23rd, 2020...or should I say Halloween in August!  @myglendale cvspharmacy #wearamask😷 #doingmypart #wewillsurvive #savelives #coronavirüsü @ Glendale, California ",0
@CNN “Trump falsely claimed that the Centers for Disease Control and Prevention found that 85% of people who wear masks get the coronavirus” This kind of misinformation from the President should be grounds for impeachment! He’s playing with people’s health and life!,0
"@TimMurtaugh Moron, “everyone was provided a mask, and there was plenty of hand sanitizer available for all. It's obvious that the media's concern about large gatherings begins and ends with Trump rallies,""   Simple science; indoors does not equal outdoors.  And you are in a leadership role!?",2
"@SharylAttkisson I’m assuming none of these people were put in choke holds, gassed or shot even though they’re breaking the law by not wearing masks or social distancing. I think it’s safe to say there will be a few less of them to vote in Nov. since Jesus doesn’t stop COVID last time I checked.",0
@CNN 😷😷😷😷😷😷ENJOY JAIL OVER A SIMPLE ACT THAT WAS SO SIMPLE TO DO......WEAR A MASK STOP THE SPREAD IF COVID19!! BYE !!!,0
"@TBIII10 I mean when you think it’s a hoax &amp; don’t wear a mask, are around a lot of people unprotected-whatcha think is gonna happen? Are you surprised?!",0
National mask mandate for the winter?,2
"What are Total Deaths This Year Compared to Last Year Same time? Everything, the Total # of Deaths last year Compared to All deaths Including COVID this year, so far &amp; update That Number Daily? Could they sell the masks then? What Big Corp will Sue the Govt &amp; Win?",2
@realDonaldTrump How are you proud of this hot mess? No masks no social distancing. I guess it makes since that your cult actually believes your lies. I can't wait tell you loose the election and go to jail,0
"This year may be different- so we wear fun masks with family, sanitize  like we all have cooties and take super quick family pictures. Made sure to leave hand sanitizer out for Santa with his cookies ",0
Face masks could be giving people Covid-19 immunity  ,0
Since when has anyone in authority not perverted science to suit their agenda? Example:  Covid virus is less than 1 micron &amp; N95 masks allow for 3 microns. It's no wonder they now say to wear 2 or 3 masks. I can't trust Dems with Chinese spies? evidence Trump colluded? etc? etc? ,2
@Padres_Farm I won't go if I am required to wear a mask.,1
"TOMORROW / 8PM / @dgbekstudios 😈Y'all know the deal already. Masks on in the lobby... your choice while in the studio.Gotta be COVID-free.Either way, we gettin lit! 💯-#CatchTheHype #bangitspercy #dgbekstudios… ",2
My new COVID-19 mask... @ Wamplers Lake ,2
Scientists test which #masks work best  by filming people coughing &amp; sneezing in them#PublicHealth😷 #COVID19#MaskItOrCasket💩 #DontBeAnMaskhole#BeSmartBeKind ,2
"@FedEx My friends company is having issues finding your flat rate envelopes to ship masks, can you help? #COVID19 ",2
More photos from Parma Fire Department incredible 9/11 ceremony tonight. Nice turnout. Mask and Social Distancing enforced. Proud of my son Jack who also gave brief remarks. ,2
No one who refuses to wear masks should be given the vaccine. ,0
"This!!! Provide context! #Trump downplayed #COVID19 and wearing #MasksSaveLives , and now he has it. It’s his own damn fault. #HeHadItComing ",0
"Almost all of Fox/most of Rep GOPs are responsible for spread of this Covid because TOO MACHO to put on a Mask or to SD! Trumpsters aren't left out because they are VERY, VERY DUMP on listening to Trump &amp; the GOP! They are only using you as an mean to an end! It's your life! ",0
"It really does take all of us. Do your part. Stay home, social distance, wash your hands frequently and FOR THE LOVE OF GOD, WEAR A MASK. ",0
Petition calls on H-E-B to mandate face masks for customers as COVID-19 cases among employees rise ➡️  via @mySA,2
"@PapakelchE @NicKiLoAr @donsmit21100674 @MaryKayCabot You people are fucking nuts criticizing dudes that you expect to go out and entertain you every Sunday, mask less, iN a pAnDeMiC.",2
... anyways Wear your mask 😷wash your hands 🧼 and JUSTICE FOR BREONNA TAYLOR 🖤✊🏾🖤,0
"I'll wear a mask, I'll wear it under my chin I'm wearing it, I'm just not wearing it right!!! 😂 ",2
"@JujuliaGrace Except failing (faster even) in areas not locked down.In our state, areas MOST locked down areas have the WORST outcomes (dense, crime-ridden cities but aggressively enforced lockdown/mask rules). Ironically, local lockdown enthusiasts kids are all in pvt school (incl Mayor).",2
"Wear a Mask! Wear your mask!  It’s the right thing to do!  Everyone is responsible for everyone. @ Acalanes Ridge, California ",0
It’s ALWAYS the people without the mask doing the most talking and less social distancing.,0
"... this reckless and dangerously selfish guy should be ID’ed and banned from all future flights. If it bothers him so much, let him fucking drive wherever he needs to go without his mask. ",2
Meet My Twin 😫 We Rapped @NICKIMINAJ #Monster Verse! Any suggestions for the next video we do? #StarWarsDay #MayThe4thBeWithYou #coronavirus #MayTheFourth #MaskUpLagos #thebselcaday #boyslockerroom #COVIDー19 #TeacherAppreciationWeek #LiquorShops #MayTheFourthBeWithYou ,2
😷🙌🏻👏🏻Wear your mask for our teams!!! ❤️ @UofUHealth @UUtah @UofUtrauma @UofUAirMed @uofunursing @UofUSurgery @UofUInternalMed #HeroesWorkHere #HealthcareHeroes #MaskUpUtah #ThankU ,0
"When the weather gets cold, come on inside #SwingARound and have fun winning tickets (on your card) to cash in on our #PrizeWall!🏆Thanks in advance for wearing masks and practicing social distancing when you are enjoying the arcade, snacks, and inside fun! ",2
"@WisebotQ @sltrib Hospitals take major precautions, yet people still get infectionsMasks, sanitizer, washing hands, and washing masks —  its better than giving up and yeah it's not perfectFight COVID, not people trying to stop infection",0
We've had 2 client deaths related to COVID this week after no deaths in months #WearAMaskSaveALife Consider a vaccine to protect yourself #CovidVaccine,0
"So why y’all sit there and chuckle about freedom, families like mine are shunted to the corner in fear for our lives. When all you have to do to help us is wear 👏🏼a 👏🏼damn 👏🏼mask👏🏼",0
@RealJamesWoods No masks to help prevent the spread of this dangerous killer #coronavirus? Or is it just selective enforcement/outrage? #sarcasm,2
"@JoeBiden Donald Trump has never stood up against the #pandemic, including tonight at his Hatch Act #Convention where he has gathered supporters without masks or social distancing. 🌊🌊🌊",0
"A little shopping (for me) finished the family gifts last week! #maskup #wearamask😷 @ Historic Smithville, NJ - The Village Greene ",2
"So Virginia's #Covid_19 numbers are starting to go up again. After going out, I can see why. No mask in @7eleven, @Wawa in #Fredericksburg #va #spotsylvaniacounty #WearAMask",0
Trump &amp; the campaign also violated Pennsylvania’s mask order so @kayleighmcenany @PressSec should apologize to Pelosi ,2
"So happy to receive my kieljamespatrick  cloth #facemask ❤️❤️❤️ #pandemic #socialdistancing #covid19 #facemaskstyle #rhodeisland #thankyou @ Midland, Michigan ",2
"@PaulDJohnston Just wait until the Florida-Gerorgia game later this season. “World’s Largest Outdoor Cocktail Party”, with no masks, social distancing, or stadium capacity limits. It’s going to be a colossal shit show of a super-spreader event.",0
Stay inside. Wear a mask. Social distance. DO NOT ruin #TheBatman theatre premier. If I don’t see this film in theatres someone will PAY,0
Should I just wear my ski mask and call it a costume...,2
@colinmcfarlane at least you were outside when you saw the maskless walking around.  See story below.  Those “special”people were inside and not wearing masks.  😷 ,2
@MSNBC It doesn't matter anymore the no maskers will continue to gather just like they always have that's why we're in the trouble we're in. But rest assured they'll be the first ones in line to get a vaccine shot especially if they're rich,0
@RNGirl_17 @thomaskaine5 Me too!    This Covid sucks,2
Yall want to know my dream ?I want what America was promised to be from day one.Freedom for all is an absolute must before you can hold a conversation with me. I want mask on science channel watchers that will work hard at mask factors making the real n95 mask,2
"@MaryLTrump @AnneChampion @Laurie_Garrett @kavitapmd @Martina @MollyJongFast I #MaskUp for my husband, children, grandchildren, my elderly father-in-law, friends and for everyone’s family and friends. Unlike @realDonaldTrump &amp; @VP I don’t have a desire to give COVID to anyone and I pray they don’t want to give it to me. 😷",0
Wear a mask and stay home. Save lives! Please! COVID-19 is not a joke 😷,0
".@lyft does not enforce that their drivers wear masks, endangering us all. #Covid_19 #LosAngeles #lyft",0
@Liz_Cheney Which Dr Fauchi....the one that said covid was not a problem then said it was or the one that said no masks then said we all had to wear them. This guy may be medically smart but I don’t trust him or his advice.,2
@scottjstephens Could also replace that gif with a bottle of hand sanitizer.  And also add your mask to your picture next to the whiskey and bourbon.,0
It's easy to discern brainwashed obedient zombies from awake and aware sovereign citizens. Mask wearers give themselves away while hiding their identity. It's embarrassing. ,1
The ‘Eliza’ worn by Jasmin of New York 🖤🔥 #fashionmask #Italiansilk #floralmask #Masks4All #MasksOn #VonSorella ,2
"""FASHION FABULOUS FRIDAY""Happy Labor Day Weekend Everyone!!!Have a #barbeque outside, practice #socialdistancing, wash your hands and wear a #mask!!!Have a wonderful safe time!!!! Its going to be a glorious… ",0
@jessiepaege Lmao can confirm. I shot a whole green screen video next to my fridge at 3am. Karen surely can wear a mask,2
@StephenColley18 @drdrew So...masks and social distancing etc stopped the flu but not covid?...hmmm..then what was the point of them again? ,1
My only problem is y’all calling people criminals for choosing to NOT wear a mask....,2
Hats off to all of you who wear #hearingaids. And here's @AuthorLBrown with a less known fact for everyone else. Thanks for sharing.  #Masks #COVID19 #coronavirus #empathy ,2
"If you were asked if you’d rather wear a mask, or have a cure for covid... what would you say!? Because some of these “doctors” “researchers” on covid said they’d rather wear a mask. Can someone PLEASE explain that logic 😂🤦🏼‍♀️",1
"@espn_macmahon Was he wearing a mask?If so treat civilians equally @SalazarSenate  , what does one celebrity do ,well of one would have just not played them there would be no covid infections at all the senate should have staged shutdown till the vaccine came ,so it’s not his fault .He’s human. ",2
Reminder. If we see a spike in Covid19 cases in a week or two it’s the fault of the police who are removing masks before crowding protestors onto busses and keeping them their all night. #BLMprotest,0
Why? Why are these politicians getting the vaccine? Talking about those that fought wearing a mask and insisted following #45’s hoax and herd theories. ,0
"@AggressiveDem @FrankTompkins1 @JknickerbockerP @extremecompute @FrancaRose33 @photoartist9 @kittyst0mper @noid2024 @mydumbcrusade @BenjaminHampson @Tampke @Destrier15 @kevfloydfl @CoxsTench @Satyrus6 @johnralloa @badjin_rank @Themoos93167636 @BigFatKoch @DrDowder @TheSuppressed86 @garner_forest @Peaches_Sabrina @yammerapple @FlynDutchman466 @theHazelverse @rincewind_t @it_is_me_GH @RomanthaAries @mikeinmarlton @kristenschaaled @TheJeffBradley @insaneknight85 @BidenInsultBot Eric do you feel if Trump from the start took it serious. Wore a mask, ask all his support to wear makes. Push hard to control the spread. Do you feel so many of his supporters would be anti mask and treating this like a flu he wasn’t ?",0
"customers make me wanna quit my job over this corona bs. wear a mask. if you don’t, you’re simply NOT coming into my workplace. lmaooo my boss gave me permission to tell y’all to leave. so dont waste your time. your business does not matter enough 🤷‍♀️ simply put.",0
my future spouse better be social distancing &amp; wearing a mask! that’s all i gotta say,0
"@thebenzifrenzi @KatieKingsley5 @guygaga @justdelossantos @JRGirello I have multiple friends back in Philly who had covid.  They wore masks everywhere they went. Still got covid. I'll find the study but I believe it was NCBI that showed studies that masks are minimally effective, but.... in conclusion, wear one.  Senseless. Just stay home.",2
"@MSNBC Here is a thought.... if you didn’t wear a mask because of your personal freedom issues or the virus is a hoax, then you go to the back of the line for vaccinations.  That should free up at least 72M doses.",0
"My 85 yo dad is my hero. The man rose from a single parent home &amp; extreme poverty to become an honored educator, coach &amp; principal. He tested + for COVID right before Christmas. He’s been in the hospital pretty much all year. He’s battling. Wear your masks!",0
The @GOP as a whole should not get the #COVID vaccine until everyone else who wants one gets it. And then maybe not at all. COVID-deniers and anti-maskers shouldn’t be before ANYONE else. @HouseGOP @SenateGOP,0
Healthy Tomorrows team representing! #WearAMask #WorldMaskWeek #TakeAction #SaveLives #AAPHTPCP #ChallengeAccepted ,2
For me I’m wearing my mask and keeping away from others. I’m going to be in quarantine for a lot longer than I wanted to be. #TrumpWantsToInfectUs,0
@AmirightWtf @mshaynerush @sbeasss Mask are bad on the fade of it.  They trap bacteria and inhibit natural resparation.   It contexts masks have a function.   Masking n mass doesn’t stop the spread of covid.,1
THEY WANT TO SEE US SOON AND HOBI SAID TO WEAR A MASK SO WEAR UR FUCKING MASK  ,0
Great graphic of what we are looking at for seasons. Great work by the MIAA and everyone involved. Let’s all work together and make sure we have the best shot at making this happen! #GoShamrocks #wearamask ,2
In Other Words ....#Florida Is Within What Is Considered #AcceptableLoss ....All About #Percentages ....Btw ....$ 2000.00 Or Nothing ....#WearAMask #Coronavirus #SocialDistanacing #DistanceLearning #Outbreak #Pandemic #Quarantine #Lockdown #Florida ,0
@coelhoosvaldo3 If  Lagarde was smart shed say no more for economies in lockdown anymore. Stimulus requires new plan to fight sars 2 beyond masks.  Protect hospitals. Quarantine the elderly.,2
wearing a mask and face shield for 8-16 hours is having my skin break tf out so bad 😭,1
"The Administration, the Doctors, the inadequate plans and executions all bear responsibility.  Americans who politicize mask wearing and social distancing are uncaring idiots, whose actions will lead to illness and death!  Wake the fuck up America! IT’S ABOUT HEALTH FOOLS!",0
"It feels like we've been 9776544332 days into this pandemic, stay safe fam an friends! Mask up an basic hygiene practices.",0
This corona shit blowing mine bro I’m already hard of hearing now I can’t even read mfs lips cus the fucking masks then when I try to lean in to hear ppl like woah there buddy 6 feet like bro I promise I don’t want to be any closer to u IM JUST FUCKING DEAF,2
"Stay home, stay safe and wear a mask in the car alone.  #BidenHarris2020 ",0
@NotToday0299 @ronnea1 Pence supposedly leads the COVID19 Taskforce... And he doesn't know that CDC recommend s wearing a mask ESPECIALLY in areas of high risk?#FirePence#PenceUnmasked@SecondLady ,0
"We are one year into this pandemic, wear your mask over your nose you dip shits.",0
Check out BasedAmy's replay [15th July Wednesday COMING UP AT 9pm ON :  BRISTOL BLM/CHINA/US/COVID MASKS!] on DLive  5ApvwcnMR?ref=scott56789 SHE IS ONE OF THE BEST PEOPLE OUT THERE WITH ALL THE UP TO THE MINUTE NEWS FROM ALL OVER!!,2
After finding out he know has COVID-19 so glad she didn't take off her mask. These people literally don't care about others lives. ,0
"@realDonaldTrump Only you @realDonaldTrump are to blame for the racism &amp; police brutality, the economy, the infrastructure..the lack of it, the Coronavirus - the increasing cases of covid19, it's a hoax - it's the Dems game if you wear a mask it shows WEAKNESS it the Dems trying to control you ",2
If imma wear a mask this is the one I want ✌️ @Dreamville ,2
Not wearing Masks/no SD are used as an excuse by the Trumpsters to provoke the Liberal so Rep could have the first say so/Irritate the Dems! We aren't provoked but amazed how you can act so stupid when it comes to human lives! Only the strong survive so we will outlive the Rep! ,0
"Yesterday was such an exciting day! For the first time in 6 months the kids were able to compete. Amazing venue, lots of social distancing (masks, temperature Check-ins, etc) and beautiful weather! Thanks to TG Ohio for making it happen! TGShowcase #Glitter💃🏻🌺 ",2
wear a mask  ,0
happy new years &lt;3 wear a fucking mask 😷 so we can actually do shit safely next year &lt;3,0
@drewmagary Emailed Dr this am to request vaccine! The question I have is what is the risk % with vaccine &amp; mask?,2
"@KwikWarren Translation: ""If you die because I didn't wear a mask, well, it is what it is.""",2
"@ThatUfc @RachelPhoton @spidaman @marklevinshow Hey, if you think ""as scientists and medical professionals, we recommend wearing a cloth mask to help slow this deadly pandemic"" is ""fear-mongering,"" then you're easily scared. Must be a sad way to go through life.",2
Oh and by the way you have to wear a mask the whole time. And just a message for birds fans who want to celebrate when you’re pathetic little team wins- you have no right to be happy whatsoever. You’re all a bunch of scumbags who live in south jersey. ,2
"@WalkAwayTHT @RealWalkAway @BrandonStraka @briannalyman2 I would like to not die because someone like @BrandonStraka decides he won’t wear a mask on an airplane. Masks prevent spread of #COVID19. Read the science. Ignore @GOP’s politicized misinformation. Key concepts: asymptomatic, closed spaces, unpredictable. Thank you @AmericanAir.",0
If you really want to social distant stand 20 or 30 or 50 feet away. 6 feet is still too close. For example if u put a mask on u still have Covid on your cheeks and eyes. You can still get snot and spit on you so ur not protected 100 percent. 6 feet u can still get sick.,2
How would people react if a church had a no mask policy? As in if you wear a mask you’re not welcome in their doors...,2
"@jmcin9 Right. I guess without masks and distancing, based on flu, COVID would be running rampant. What is ratio of this year flu to normal flu?",2
I hope @butleru folks are paying attention to what is happening at other schools - don’t be like them. Stay safe. Wear a mask. ,0
